ZIP,FIPS
91962,06073
91963,06073
91976,06073
91977,06073
91978,06073
91979,06073
91980,06073
91987,06073
92003,06073
92004,06073
92007,06073
92008,06073
92009,06073
92010,06073
92011,06073
92013,06073
92014,06073
92018,06073
92019,06073
92020,06073
92021,06073
92022,06073
92023,06073
92024,06073
92025,06073
92026,06073
92027,06073
92028,06073
92029,06073
92030,06073
92033,06073
92036,06073
92037,06073
92038,06073
92039,06073
92040,06073
92046,06073
92049,06073
92051,06073
92052,06073
92054,06073
92055,06073
92056,06073
92057,06073
92058,06073
92059,06073
92060,06073
92061,06073
92064,06073
92065,06073
92066,06073
92067,06073
92068,06073
92069,06073
92070,06073
92071,06073
92072,06073
92074,06073
92075,06073
92078,06073
92079,06073
92081,06073
92082,06073
92083,06073
92084,06073
92085,06073
92086,06073
92088,06073
92091,06073
92092,06073
92093,06073
92096,06073
92101,06073
92102,06073
92103,06073
92104,06073
92105,06073
92106,06073
92107,06073
92108,06073
92109,06073
92110,06073
92111,06073
92112,06073
92113,06073
92114,06073
92115,06073
92116,06073
92117,06073
92118,06073
92119,06073
92120,06073
92121,06073
92122,06073
92123,06073
92124,06073
92126,06073
92127,06073
92128,06073
92129,06073
92130,06073
92131,06073
92132,06073
92134,06073
92135,06073
92136,06073
92137,06073
92138,06073
92139,06073
92140,06073
92142,06073
92143,06073
92145,06073
92147,06073
92149,06073
92150,06073
92152,06073
92153,06073
92154,06073
92155,06073
92158,06073
92159,06073
92160,06073
92161,06073
92163,06073
92165,06073
92166,06073
92167,06073
92168,06073
92169,06073
92170,06073
92171,06073
92172,06073
92173,06073
92174,06073
92175,06073
92176,06073
92177,06073
92178,06073
92179,06073
92182,06073
92186,06073
92187,06073
92191,06073
92192,06073
92193,06073
92195,06073
92196,06073
92197,06073
92198,06073
92199,06073
92201,06065
92202,06065
92203,06065
92210,06065
92211,06065
92220,06065
92222,06025
92223,06065
92225,06065
92226,06065
92227,06025
92230,06065
92231,06025
92232,06025
92233,06025
92234,06065
92235,06065
92236,06065
92239,06065
92240,06065
92241,06065
92242,06071
92243,06025
92244,06025
92247,06065
92248,06065
92249,06025
92250,06025
92251,06025
92252,06071
92253,06065
92254,06065
92255,06065
92256,06071
92257,06025
92258,06065
92259,06025
92260,06065
92261,06065
92262,06065
92263,06065
92264,06065
92266,06025
92267,06071
92268,06071
92270,06065
92273,06025
92274,06065
92275,06025
92276,06065
92277,06071
92278,06071
92280,06071
92281,06025
92282,06065
92283,06025
92284,06071
92285,06071
92286,06071
92301,06071
92304,06071
92305,06071
92307,06071
92308,06071
92309,06071
92310,06071
92311,06071
92312,06071
92313,06071
92314,06071
92315,06071
92316,06071
92317,06071
92318,06071
92320,06065
92321,06071
92322,06071
92323,06071
92324,06071
92325,06071
92327,06071
92328,06027
92329,06071
92331,06071
92332,06071
92333,06071
92334,06071
92335,06071
92336,06071
92337,06071
92338,06071
92339,06071
92340,06071
92341,06071
92342,06071
92344,06071
92345,06071
92346,06071
92347,06071
92350,06071
92352,06071
92354,06071
92356,06071
92357,06071
92358,06071
92359,06071
92363,06071
92364,06071
92365,06071
92366,06071
92368,06071
92369,06071
92371,06071
92372,06071
92373,06071
92374,06071
92375,06071
92376,06071
92377,06071
92378,06071
92382,06071
92384,06027
92385,06071
92386,06071
92389,06027
92391,06071
92392,06071
92393,06071
92394,06071
92395,06071
92397,06071
92398,06071
92399,06071
92401,06071
92402,06071
92403,06071
92404,06071
92405,06071
92406,06071
92407,06071
92408,06071
92410,06071
92411,06071
92413,06071
92415,06071
92418,06071
92423,06071
92427,06071
92501,06065
92502,06065
92503,06065
92504,06065
92505,06065
92506,06065
92507,06065
92508,06065
92509,06065
92513,06065
92514,06065
92516,06065
92517,06065
92518,06065
92519,06065
92521,06065
92522,06065
92530,06065
92531,06065
92532,06065
92536,06065
92539,06065
92543,06065
92544,06065
92545,06065
92546,06065
92548,06065
92549,06065
92551,06065
92552,06065
92553,06065
92554,06065
92555,06065
92556,06065
92557,06065
92561,06065
92562,06065
92563,06065
92564,06065
92567,06065
92570,06065
92571,06065
92572,06065
92581,06065
92582,06065
92583,06065
92584,06065
92585,06065
92586,06065
92587,06065
92589,06065
92590,06065
92591,06065
92592,06065
92593,06065
92595,06065
92596,06065
92599,06065
92602,06059
92603,06059
92604,06059
92605,06059
92606,06059
92607,06059
92609,06059
92610,06059
92612,06059
92614,06059
92615,06059
92616,06059
92617,06059
92618,06059
92619,06059
92620,06059
92623,06059
92624,06059
92625,06059
92626,06059
92627,06059
92628,06059
92629,06059
92630,06059
92637,06059
92646,06059
92647,06059
92648,06059
92649,06059
92650,06059
92651,06059
92652,06059
92653,06059
92654,06059
92655,06059
92656,06059
92657,06059
92658,06059
92659,06059
92660,06059
92661,06059
92662,06059
92663,06059
92672,06059
92673,06059
92674,06059
92675,06059
92676,06059
92677,06059
92678,06059
92679,06059
92683,06059
92684,06059
92685,06059
92688,06059
92690,06059
92691,06059
92692,06059
92693,06059
92694,06059
92697,06059
92698,06059
92701,06059
92702,06059
92703,06059
92704,06059
92705,06059
92706,06059
92707,06059
92708,06059
92711,06059
92712,06059
92728,06059
92735,06059
92780,06059
92781,06059
92782,06059
92799,06059
92801,06059
92802,06059
92803,06059
92804,06059
92805,06059
92806,06059
92807,06059
92808,06059
92809,06059
92811,06059
92812,06059
92814,06059
92815,06059
92816,06059
92817,06059
92821,06059
92822,06059
92823,06059
92825,06059
92831,06059
92832,06059
92833,06059
92834,06059
92835,06059
92836,06059
92837,06059
92838,06059
92840,06059
92841,06059
92842,06059
92843,06059
92844,06059
92845,06059
92846,06059
92850,06059
92856,06059
92857,06059
92859,06059
92860,06065
92861,06059
92862,06059
92863,06059
92864,06059
92865,06059
92866,06059
92867,06059
92868,06059
92869,06059
92870,06059
92871,06059
92877,06065
92878,06065
92879,06065
92880,06065
92881,06065
92882,06065
92883,06065
92885,06059
92886,06059
92887,06059
92899,06059
93001,06111
93002,06111
93003,06111
93004,06111
93005,06111
93006,06111
93007,06111
93009,06111
93010,06111
93011,06111
93012,06111
93013,06083
93014,06083
93015,06111
93016,06111
93020,06111
93021,06111
93022,06111
93023,06111
93024,06111
93030,06111
93031,06111
93032,06111
93033,06111
93034,06111
93035,06111
93036,06111
93040,06111
93041,06111
93042,06111
93043,06111
93044,06111
93060,06111
93061,06111
93062,06111
93063,06111
93064,06111
93065,06111
93066,06111
93067,06083
93094,06111
93099,06111
93101,06083
93102,06083
93103,06083
93105,06083
93106,06083
93107,06083
93108,06083
93109,06083
93110,06083
93111,06083
93116,06083
93117,06083
93118,06083
93120,06083
93121,06083
93130,06083
93140,06083
93150,06083
93160,06083
93190,06083
93199,06083
93201,06107
93202,06031
93203,06029
93204,06031
93205,06029
93206,06029
93207,06107
93208,06107
93210,06019
93212,06031
93215,06029
93216,06029
93218,06107
93219,06107
93220,06029
93221,06107
93222,06029
93223,06107
93224,06029
93225,06029
93226,06029
93227,06107
93230,06031
93232,06031
93234,06019
93235,06107
93237,06107
93238,06029
93239,06031
93240,06029
93241,06029
93242,06019
93243,06029
93244,06107
93245,06031
93246,06031
93247,06107
93249,06029
93250,06029
93251,06029
93252,06029
93254,06083
93255,06029
93256,06107
93257,06107
93258,06107
93260,06107
93261,06107
93262,06107
93263,06029
93265,06107
93266,06031
93267,06107
93268,06029
93270,06107
93271,06107
93272,06107
93274,06107
93275,06107
93276,06029
93277,06107
