client_lat,client_lon,server_lat,server_lon
41.497,-82.018,32.8969,-97.0381
47.542,-122.312,47.4489,-122.3094
39.073,-94.718,41.9786,-87.9047
40.473,-79.95,38.9444,-77.4558
32.937,-96.549,32.8969,-97.0381
33.811,-84.287,33.6367,-84.4281
37.751,-97.822,25.7833,-80.2667
42.556,-83.118,43.6767,-79.6306
26.1452,-80.1729,25.7833,-80.2667
41.313,-81.08,41.9786,-87.9047
38.201,-77.589,38.9444,-77.4558
38.706,-90.668,41.9786,-87.9047
34.031,-118.49,33.9425,-118.4072
26.348,-80.159,32.8969,-97.0381
29.718,-95.434,32.8969,-97.0381
38.0,-97.0,37.3833,-122.0667
34.407,-118.401,33.9425,-118.4072
40.769,-73.961,40.7667,-73.8667
39.917,-76.726,38.9444,-77.4558
47.762,-122.205,47.4489,-122.3094
38.742,-90.258,41.9786,-87.9047
40.05,-105.277,39.8561,-104.6737
39.554,-104.969,39.8561,-104.6737
37.687,-122.439,37.3833,-122.0667
41.035,-74.044,40.7667,-73.8667
33.21,-87.569,25.7833,-80.2667
45.4677,-122.4959,47.4489,-122.3094
33.748,-84.3858,33.6367,-84.4281
30.4298,-90.8999,32.8969,-97.0381
40.689,-76.196,40.7667,-73.8667
27.483,-82.584,25.7833,-80.2667
45.016,-93.472,41.9786,-87.9047
33.62,-117.612,33.9425,-118.4072
36.076,-79.074,33.6367,-84.4281
42.451,-88.221,41.9786,-87.9047
42.4072,-76.5159,40.7667,-73.8667
36.02,-75.67,38.9444,-77.4558
35.124,-106.768,39.8561,-104.6737
38.0,-97.0,32.8969,-97.0381
41.894,-87.79,41.9786,-87.9047
37.627,-77.544,38.9444,-77.4558
32.8073,-117.1324,33.9425,-118.4072
26.122,-80.143,25.7833,-80.2667
45.488,-94.232,41.9786,-87.9047
40.725,-73.98,40.7667,-73.8667
46.874,-96.768,41.9786,-87.9047
37.142,-84.5584,33.6367,-84.4281
37.751,-97.822,47.4489,-122.3094
34.003,-83.347,33.6367,-84.4281
38.0,-97.0,32.8969,-97.0381
46.213,-119.168,47.4489,-122.3094
32.7825,-96.8207,32.8969,-97.0381
